ticks per second: 3.0
[MESSAGE(S) SENT] | Global Time - 01:43:48.588554 | Receiver(s) - [0, 1] | Clock Time - 232
[INTERNAL] | Global Time - 01:43:48.925272 | No Messages Sent | Clock Time - 233
[MESSAGE RECEIVED] | Global Time - 01:43:49.261684 | Queue Length - 0 | Clock Time - 237
[MESSAGE RECEIVED] | Global Time - 01:43:49.599876 | Queue Length - 1 | Clock Time - 238
[MESSAGE RECEIVED] | Global Time - 01:43:49.951804 | Queue Length - 1 | Clock Time - 239
[MESSAGE RECEIVED] | Global Time - 01:43:50.291129 | Queue Length - 0 | Clock Time - 240
[MESSAGE RECEIVED] | Global Time - 01:43:50.625903 | Queue Length - 0 | Clock Time - 245
[MESSAGE(S) SENT] | Global Time - 01:43:50.962101 | Receiver(s) - [1] | Clock Time - 246
[INTERNAL] | Global Time - 01:43:51.298498 | No Messages Sent | Clock Time - 247
[MESSAGE RECEIVED] | Global Time - 01:43:51.637615 | Queue Length - 0 | Clock Time - 251
[INTERNAL] | Global Time - 01:43:51.977039 | No Messages Sent | Clock Time - 252
[MESSAGE(S) SENT] | Global Time - 01:43:52.314284 | Receiver(s) - [0] | Clock Time - 253
[MESSAGE(S) SENT] | Global Time - 01:43:52.669768 | Receiver(s) - [1] | Clock Time - 254
[MESSAGE RECEIVED] | Global Time - 01:43:53.007253 | Queue Length - 1 | Clock Time - 258
[MESSAGE RECEIVED] | Global Time - 01:43:53.343431 | Queue Length - 0 | Clock Time - 259
[MESSAGE RECEIVED] | Global Time - 01:43:53.680241 | Queue Length - 0 | Clock Time - 263
[INTERNAL] | Global Time - 01:43:54.016400 | No Messages Sent | Clock Time - 264
[MESSAGE(S) SENT] | Global Time - 01:43:54.355128 | Receiver(s) - [1] | Clock Time - 265
[INTERNAL] | Global Time - 01:43:54.694585 | No Messages Sent | Clock Time - 266
[INTERNAL] | Global Time - 01:43:55.032741 | No Messages Sent | Clock Time - 267
[INTERNAL] | Global Time - 01:43:55.371147 | No Messages Sent | Clock Time - 268
[INTERNAL] | Global Time - 01:43:55.709700 | No Messages Sent | Clock Time - 269
[MESSAGE RECEIVED] | Global Time - 01:43:56.048085 | Queue Length - 0 | Clock Time - 277
[MESSAGE RECEIVED] | Global Time - 01:43:56.386989 | Queue Length - 0 | Clock Time - 279
[INTERNAL] | Global Time - 01:43:56.724930 | No Messages Sent | Clock Time - 280
[MESSAGE RECEIVED] | Global Time - 01:43:57.061629 | Queue Length - 1 | Clock Time - 282
[MESSAGE RECEIVED] | Global Time - 01:43:57.399672 | Queue Length - 0 | Clock Time - 283
[MESSAGE RECEIVED] | Global Time - 01:43:57.738121 | Queue Length - 0 | Clock Time - 286
[MESSAGE RECEIVED] | Global Time - 01:43:58.077246 | Queue Length - 0 | Clock Time - 288
[MESSAGE RECEIVED] | Global Time - 01:43:58.412879 | Queue Length - 0 | Clock Time - 291
[INTERNAL] | Global Time - 01:43:58.752191 | No Messages Sent | Clock Time - 292
[INTERNAL] | Global Time - 01:43:59.088878 | No Messages Sent | Clock Time - 293
[INTERNAL] | Global Time - 01:43:59.425116 | No Messages Sent | Clock Time - 294
[MESSAGE RECEIVED] | Global Time - 01:43:59.762939 | Queue Length - 0 | Clock Time - 299
[MESSAGE(S) SENT] | Global Time - 01:44:00.101019 | Receiver(s) - [0, 1] | Clock Time - 300
[INTERNAL] | Global Time - 01:44:00.438569 | No Messages Sent | Clock Time - 301
[MESSAGE RECEIVED] | Global Time - 01:44:00.777163 | Queue Length - 0 | Clock Time - 305
[INTERNAL] | Global Time - 01:44:01.112491 | No Messages Sent | Clock Time - 306
[MESSAGE RECEIVED] | Global Time - 01:44:01.450341 | Queue Length - 0 | Clock Time - 307
[MESSAGE RECEIVED] | Global Time - 01:44:01.790680 | Queue Length - 0 | Clock Time - 310
[INTERNAL] | Global Time - 01:44:02.128921 | No Messages Sent | Clock Time - 311
[INTERNAL] | Global Time - 01:44:02.468070 | No Messages Sent | Clock Time - 312
[MESSAGE(S) SENT] | Global Time - 01:44:02.806521 | Receiver(s) - [1] | Clock Time - 313
[INTERNAL] | Global Time - 01:44:03.143170 | No Messages Sent | Clock Time - 314
[MESSAGE(S) SENT] | Global Time - 01:44:03.482614 | Receiver(s) - [1] | Clock Time - 315
[MESSAGE RECEIVED] | Global Time - 01:44:03.817399 | Queue Length - 0 | Clock Time - 322
[MESSAGE RECEIVED] | Global Time - 01:44:04.151968 | Queue Length - 0 | Clock Time - 323
[MESSAGE RECEIVED] | Global Time - 01:44:04.489566 | Queue Length - 0 | Clock Time - 325
[INTERNAL] | Global Time - 01:44:04.826023 | No Messages Sent | Clock Time - 326
[MESSAGE RECEIVED] | Global Time - 01:44:05.165780 | Queue Length - 0 | Clock Time - 329
[INTERNAL] | Global Time - 01:44:05.504421 | No Messages Sent | Clock Time - 330
[INTERNAL] | Global Time - 01:44:05.844288 | No Messages Sent | Clock Time - 331
[INTERNAL] | Global Time - 01:44:06.184362 | No Messages Sent | Clock Time - 332
[INTERNAL] | Global Time - 01:44:06.521866 | No Messages Sent | Clock Time - 333
[INTERNAL] | Global Time - 01:44:06.856848 | No Messages Sent | Clock Time - 334
[INTERNAL] | Global Time - 01:44:07.194509 | No Messages Sent | Clock Time - 335
[MESSAGE RECEIVED] | Global Time - 01:44:07.530781 | Queue Length - 0 | Clock Time - 343
[MESSAGE(S) SENT] | Global Time - 01:44:07.864866 | Receiver(s) - [0] | Clock Time - 344
[INTERNAL] | Global Time - 01:44:08.203991 | No Messages Sent | Clock Time - 345
[INTERNAL] | Global Time - 01:44:08.544050 | No Messages Sent | Clock Time - 346
[MESSAGE RECEIVED] | Global Time - 01:44:08.883588 | Queue Length - 0 | Clock Time - 352
[INTERNAL] | Global Time - 01:44:09.223168 | No Messages Sent | Clock Time - 353
[MESSAGE RECEIVED] | Global Time - 01:44:09.561559 | Queue Length - 0 | Clock Time - 355
[INTERNAL] | Global Time - 01:44:09.899528 | No Messages Sent | Clock Time - 356
[INTERNAL] | Global Time - 01:44:10.238517 | No Messages Sent | Clock Time - 357
[MESSAGE(S) SENT] | Global Time - 01:44:10.577282 | Receiver(s) - [0, 1] | Clock Time - 358
[INTERNAL] | Global Time - 01:44:10.915360 | No Messages Sent | Clock Time - 359
[INTERNAL] | Global Time - 01:44:11.253769 | No Messages Sent | Clock Time - 360
[INTERNAL] | Global Time - 01:44:11.590045 | No Messages Sent | Clock Time - 361
[INTERNAL] | Global Time - 01:44:11.927807 | No Messages Sent | Clock Time - 362
[MESSAGE(S) SENT] | Global Time - 01:44:12.265046 | Receiver(s) - [0] | Clock Time - 363
[INTERNAL] | Global Time - 01:44:12.599995 | No Messages Sent | Clock Time - 364
[MESSAGE(S) SENT] | Global Time - 01:44:12.936959 | Receiver(s) - [0] | Clock Time - 365
[INTERNAL] | Global Time - 01:44:13.276057 | No Messages Sent | Clock Time - 366
[INTERNAL] | Global Time - 01:44:13.612459 | No Messages Sent | Clock Time - 367
[MESSAGE RECEIVED] | Global Time - 01:44:13.948720 | Queue Length - 0 | Clock Time - 380
[INTERNAL] | Global Time - 01:44:14.287135 | No Messages Sent | Clock Time - 381
[MESSAGE RECEIVED] | Global Time - 01:44:14.624875 | Queue Length - 0 | Clock Time - 384
[INTERNAL] | Global Time - 01:44:14.959228 | No Messages Sent | Clock Time - 385
[MESSAGE RECEIVED] | Global Time - 01:44:15.296503 | Queue Length - 0 | Clock Time - 388
[INTERNAL] | Global Time - 01:44:15.635232 | No Messages Sent | Clock Time - 389
[MESSAGE RECEIVED] | Global Time - 01:44:15.974226 | Queue Length - 0 | Clock Time - 393
[MESSAGE(S) SENT] | Global Time - 01:44:16.312828 | Receiver(s) - [0] | Clock Time - 394
[INTERNAL] | Global Time - 01:44:16.648870 | No Messages Sent | Clock Time - 395
[MESSAGE RECEIVED] | Global Time - 01:44:16.984158 | Queue Length - 0 | Clock Time - 399
[INTERNAL] | Global Time - 01:44:17.323240 | No Messages Sent | Clock Time - 400
[MESSAGE RECEIVED] | Global Time - 01:44:17.659111 | Queue Length - 0 | Clock Time - 402
[INTERNAL] | Global Time - 01:44:17.996850 | No Messages Sent | Clock Time - 403
[MESSAGE(S) SENT] | Global Time - 01:44:18.335647 | Receiver(s) - [0, 1] | Clock Time - 404
[INTERNAL] | Global Time - 01:44:18.674059 | No Messages Sent | Clock Time - 405
[MESSAGE RECEIVED] | Global Time - 01:44:19.010599 | Queue Length - 0 | Clock Time - 411
[MESSAGE(S) SENT] | Global Time - 01:44:19.347592 | Receiver(s) - [0] | Clock Time - 412
[MESSAGE(S) SENT] | Global Time - 01:44:19.684035 | Receiver(s) - [0] | Clock Time - 413
[INTERNAL] | Global Time - 01:44:20.023377 | No Messages Sent | Clock Time - 414
[MESSAGE RECEIVED] | Global Time - 01:44:20.360499 | Queue Length - 0 | Clock Time - 419
[INTERNAL] | Global Time - 01:44:20.699787 | No Messages Sent | Clock Time - 420
[MESSAGE(S) SENT] | Global Time - 01:44:21.038761 | Receiver(s) - [0] | Clock Time - 421
[INTERNAL] | Global Time - 01:44:21.373853 | No Messages Sent | Clock Time - 422
[MESSAGE RECEIVED] | Global Time - 01:44:21.713747 | Queue Length - 0 | Clock Time - 427
[MESSAGE(S) SENT] | Global Time - 01:44:22.053391 | Receiver(s) - [0, 1] | Clock Time - 428
