ticks per second: 2.0
[MESSAGE RECEIVED] | Global Time - 01:48:11.630260 | Queue Length - 0 | Clock Time - 343
[MESSAGE RECEIVED] | Global Time - 01:48:12.134575 | Queue Length - 0 | Clock Time - 346
[MESSAGE RECEIVED] | Global Time - 01:48:12.637084 | Queue Length - 0 | Clock Time - 352
[MESSAGE RECEIVED] | Global Time - 01:48:13.141972 | Queue Length - 1 | Clock Time - 356
[MESSAGE RECEIVED] | Global Time - 01:48:13.645354 | Queue Length - 3 | Clock Time - 357
[MESSAGE RECEIVED] | Global Time - 01:48:14.151124 | Queue Length - 3 | Clock Time - 358
[MESSAGE RECEIVED] | Global Time - 01:48:14.654338 | Queue Length - 2 | Clock Time - 359
[MESSAGE RECEIVED] | Global Time - 01:48:15.159069 | Queue Length - 2 | Clock Time - 360
[MESSAGE RECEIVED] | Global Time - 01:48:15.665732 | Queue Length - 2 | Clock Time - 363
[MESSAGE RECEIVED] | Global Time - 01:48:16.170835 | Queue Length - 2 | Clock Time - 367
[MESSAGE RECEIVED] | Global Time - 01:48:16.676258 | Queue Length - 1 | Clock Time - 368
[MESSAGE RECEIVED] | Global Time - 01:48:17.181252 | Queue Length - 1 | Clock Time - 373
[MESSAGE RECEIVED] | Global Time - 01:48:17.686681 | Queue Length - 1 | Clock Time - 377
[MESSAGE RECEIVED] | Global Time - 01:48:18.188204 | Queue Length - 1 | Clock Time - 382
[MESSAGE RECEIVED] | Global Time - 01:48:18.693486 | Queue Length - 0 | Clock Time - 383
[MESSAGE RECEIVED] | Global Time - 01:48:19.197643 | Queue Length - 1 | Clock Time - 391
[MESSAGE RECEIVED] | Global Time - 01:48:19.699806 | Queue Length - 0 | Clock Time - 392
[INTERNAL] | Global Time - 01:48:20.201399 | No Messages Sent | Clock Time - 393
[MESSAGE RECEIVED] | Global Time - 01:48:20.706548 | Queue Length - 0 | Clock Time - 399
[MESSAGE RECEIVED] | Global Time - 01:48:21.211922 | Queue Length - 0 | Clock Time - 402
[MESSAGE RECEIVED] | Global Time - 01:48:21.716733 | Queue Length - 0 | Clock Time - 405
[INTERNAL] | Global Time - 01:48:22.220797 | No Messages Sent | Clock Time - 406
[MESSAGE RECEIVED] | Global Time - 01:48:22.725195 | Queue Length - 0 | Clock Time - 411
[INTERNAL] | Global Time - 01:48:23.229785 | No Messages Sent | Clock Time - 412
[MESSAGE RECEIVED] | Global Time - 01:48:23.730737 | Queue Length - 0 | Clock Time - 419
[INTERNAL] | Global Time - 01:48:24.233511 | No Messages Sent | Clock Time - 420
[MESSAGE RECEIVED] | Global Time - 01:48:24.738727 | Queue Length - 0 | Clock Time - 421
[INTERNAL] | Global Time - 01:48:25.244105 | No Messages Sent | Clock Time - 422
[INTERNAL] | Global Time - 01:48:25.750088 | No Messages Sent | Clock Time - 423
[MESSAGE RECEIVED] | Global Time - 01:48:26.255442 | Queue Length - 0 | Clock Time - 427
[MESSAGE RECEIVED] | Global Time - 01:48:26.760045 | Queue Length - 0 | Clock Time - 435
[MESSAGE RECEIVED] | Global Time - 01:48:27.264226 | Queue Length - 1 | Clock Time - 436
[MESSAGE RECEIVED] | Global Time - 01:48:27.767800 | Queue Length - 1 | Clock Time - 439
[MESSAGE RECEIVED] | Global Time - 01:48:28.273918 | Queue Length - 0 | Clock Time - 440
[MESSAGE RECEIVED] | Global Time - 01:48:28.777673 | Queue Length - 0 | Clock Time - 446
[MESSAGE RECEIVED] | Global Time - 01:48:29.283330 | Queue Length - 0 | Clock Time - 450
[INTERNAL] | Global Time - 01:48:29.784203 | No Messages Sent | Clock Time - 451
[INTERNAL] | Global Time - 01:48:30.289300 | No Messages Sent | Clock Time - 452
